time_seconds,EDA_min,EDA_max
4327.25,0.096111,2.81698
4327.5,0.098674,2.772136
4327.75,0.101237,2.749074
4328.0,0.115334,2.719605
4328.25,0.121741,2.705511
4328.5,0.12943,2.678605
4328.75,0.133274,2.65298
4329.0,0.139682,2.637605
4329.25,0.147371,2.629917
4329.5,0.146089,2.606855
4329.75,0.153778,2.592761
4330.0,0.152497,2.582511
4330.25,0.130712,2.563292
4330.5,0.111489,2.551761
4330.75,0.134556,2.551761
4331.0,0.175563,2.56073
4331.25,0.170438,2.55048
4331.5,0.198606,2.57098
4331.75,0.197325,2.565855
4332.0,0.190918,2.558167
4332.25,0.189637,2.555604
4332.5,0.1922,2.553042
4332.75,0.188356,2.537667
4333.0,0.175563,2.527417
4333.25,0.137119,2.506917
4333.5,0.114052,2.501792
4333.75,0.184534,2.505636
4334.0,0.176845,2.487698
4334.25,0.044852,2.490261
4334.5,0.005126,2.480011
4334.75,0.024348,2.465917
4335.0,0.033319,2.464636
4335.25,0.139682,2.458229
4335.5,0.171719,2.43901
4335.75,0.121741,2.456948
4336.0,0.055104,2.445417
4336.25,0.005126,2.43901
4336.5,0.005126,2.427479
4336.75,0.005126,2.415948
4337.0,0.003844,2.460576
4337.25,0.005126,2.538732
4337.5,0.017941,2.664295
4337.75,0.028193,2.80267
4338.0,0.056385,2.896202
4338.25,0.075608,2.941046
4338.5,0.062793,2.925887
4338.75,0.053822,2.898981
4339.0,0.042289,2.838762
4339.25,0.048696,2.781105
4339.5,0.053822,2.740105
4339.75,0.058948,2.690136
4340.0,0.00897,2.668355
4340.25,0.003844,2.679886
4340.5,0.005126,2.72473
4340.75,0.005126,2.81698
4341.0,0.021785,2.892574
4341.25,0.011533,2.932293
4341.5,0.003844,2.938699
4341.75,0.032037,2.906668
4342.0,0.058948,2.861824
4342.25,0.058948,2.824668
4342.5,0.058948,2.738824
4342.75,0.058948,2.697824
4343.0,0.055104,2.68373
4343.25,0.079452,2.654261
4343.5,0.093548,2.637605
4343.75,0.075608,2.620949
4344.0,0.076889,2.614542
4344.25,0.075608,2.592761
4344.5,0.075608,2.57098
4344.75,0.075608,2.555604
4345.0,0.076889,2.538948
4345.25,0.083297,2.521011
4345.5,0.080734,2.513323
4345.75,0.101237,2.50948
4346.0,0.101237,2.488979
4346.25,0.102519,2.480011
4346.5,0.078171,2.467198
4346.75,0.073045,2.458229
4347.0,0.067919,2.444135
4347.25,0.067919,2.446698
4347.5,0.084578,2.437729
4347.75,0.084578,2.423635
4348.0,0.076889,2.413385
4348.25,0.084578,2.422138
4348.5,0.111489,2.410607
4348.75,0.117897,2.399076
4349.0,0.116615,2.400357
4349.25,0.098674,2.37345
4349.5,0.098674,2.401638
4349.75,0.098674,2.409326
4350.0,0.092267,2.377294
4350.25,0.082015,2.376013
4350.5,0.089704,2.386263
4350.75,0.107645,2.420857
4351.0,0.111489,2.501576
4351.25,0.111489,2.633545
4351.5,0.1038,2.787295
4351.75,0.101237,2.843671
4352.0,0.099956,2.880827
4352.25,0.112771,2.885952
4352.5,0.114052,2.852639
4352.75,0.099956,2.812921
4353.0,0.097393,2.775764
4353.25,0.105082,2.714264
4353.5,0.006407,2.691201
4353.75,0.005126,2.661732
4354.0,0.005126,2.633545
4354.25,0.003844,2.622014
4354.5,0.003844,2.592545
4354.75,0.003844,2.582295
4355.0,0.08586,2.572045
4355.25,0.097393,2.564357
4355.5,0.021785,2.542576
4355.75,0.003844,2.522076
4356.0,0.005126,2.504138
4356.25,0.006407,2.496451
4356.5,0.003844,2.497732
4356.75,0.005126,2.473388
4357.0,0.04357,2.456732
4357.25,0.116615,2.441357
4357.5,0.102519,2.429826
4357.75,0.107645,2.418294
4358.0,0.1038,2.408044
4358.25,0.097393,2.401638
4358.5,0.111489,2.3837
4358.75,0.106363,2.37345
4359.0,0.04357,2.365763
4359.25,0.021785,2.360638
4359.5,0.007689,2.35295
4359.75,0.003844,2.345263
4360.0,0.079452,2.336294
4360.25,0.128149,2.338856
4360.5,0.151215,2.329888
4360.75,0.153778,2.310669
4361.0,0.15506,2.302981
4361.25,0.124304,2.294013
4361.5,0.123023,2.290169
4361.75,0.106363,2.278638
4362.0,0.08586,2.272231
4362.25,0.064074,2.282481
4362.5,0.066637,2.2812
4362.75,0.003844,2.2607
4363.0,0.006407,2.2402
4363.25,0.056385,2.251731
4363.5,0.042289,2.244044
4363.75,0.005126,2.233794
4364.0,0.070482,2.235075
4364.25,0.149934,2.254294
4364.5,0.173001,2.244044
4364.75,0.158904,2.272231
4365.0,0.160186,2.272231
4365.25,0.162749,2.286325
4365.5,0.054066,2.297856
4365.75,0.123023,2.300419
4366.0,0.125586,2.302981
4366.25,0.114052,2.309388
4366.5,0.128149,2.304263
4366.75,0.121741,2.256856
4367.0,0.097393,2.241481
4367.25,0.111489,2.238919
4367.5,0.142245,2.235075
4367.75,0.151215,2.2197
4368.0,0.171719,2.210731
4368.25,0.162749,2.196637
4368.5,0.148652,2.18895
4368.75,0.157623,2.179981
4369.0,0.152497,2.172293
4369.25,0.158904,2.1582
4369.5,0.196067,2.153075
4369.75,0.203732,2.142825
4370.0,0.1384,2.136418
4370.25,0.115334,2.135137
4370.5,0.102519,2.159481
4370.75,0.114052,2.160762
4371.0,0.119178,2.156919
4371.25,0.121741,2.153075
4371.5,0.130712,2.144106
4371.75,0.134556,2.140262
4372.0,0.143526,2.136418
4372.25,0.149934,2.141543
4372.5,0.148652,2.136418
4372.75,0.151215,2.132575
4373.0,0.157623,2.130012
4373.25,0.156341,2.124887
4373.5,0.158904,2.123606
4373.75,0.157623,2.122325
4374.0,0.162749,2.118481
4374.25,0.161467,2.101825
4374.5,0.166593,2.099262
4374.75,0.167875,2.063387
4375.0,0.180689,2.048012
4375.25,0.194762,2.030074
4375.5,0.194762,2.01598
4375.75,0.193481,2.044168
4376.0,0.194762,2.031356
4376.25,0.18323,2.051856
4376.5,0.1922,2.041606
4376.75,0.194762,2.044168
4377.0,0.197325,2.037762
4377.25,0.198606,2.028793
4377.5,0.187097,2.021106
4377.75,0.20245,2.030074
4378.0,0.197325,2.033918
4378.25,0.185815,2.068512
4378.5,0.18966,2.140262
4378.75,0.169156,2.2197
4379.0,0.170438,2.297856
4379.25,0.16403,2.354232
4379.5,0.162749,2.390107
4379.75,0.140963,2.401638
4380.0,0.058948,2.396513
4380.25,0.003844,2.364482
4380.5,0.005126,2.327325
4380.75,0.125586,2.299138
4381.0,0.135837,2.264544
4381.25,0.065356,2.246606
4381.5,0.006407,2.218419
4381.75,0.003844,2.201762
4382.0,0.005126,2.1787
4382.25,0.005126,2.163325
4382.5,0.006407,2.145387
4382.75,0.005126,2.126168
4383.0,0.058948,2.109512
4383.25,0.033319,2.089012
4383.5,0.0346,2.060824
4383.75,0.056385,2.053137
4384.0,0.153778,2.056981
4384.25,0.161467,2.044168
4384.5,0.108926,2.050574
4384.75,0.119178,2.040324
4385.0,0.190941,2.035199
4385.25,0.187097,2.046731
4385.5,0.190941,2.051856
4385.75,0.196067,2.041606
4386.0,0.190941,2.031356
4386.25,0.143526,2.027512
4386.5,0.198606,2.022387
4386.75,0.198606,2.018543
4387.0,0.176845,2.000606
4387.25,0.044852,2.003168
4387.5,0.064074,1.999324
4387.75,0.020504,2.007012
4388.0,0.010252,1.986512
4388.25,0.005126,1.93398
4388.5,0.005126,1.936543
4388.75,0.00897,1.940387
4389.0,0.005126,1.940387
4389.25,0.00897,1.91348
4389.5,0.005126,1.931484
4389.75,0.003844,1.930203
4390.0,0.007689,1.92764
4390.25,0.012815,1.926359
4390.5,0.005126,1.925078
4390.75,0.005126,1.934047
4391.0,0.005126,1.944296
4391.25,0.003844,1.943015
4391.5,0.005126,1.891765
4391.75,0.005126,1.793109
4392.0,0.003844,1.781577
4392.25,0.005126,1.873828
4392.5,0.005126,1.934047
4392.75,0.005126,1.940453
4393.0,0.005126,1.926359
4393.25,0.005126,1.934047
4393.5,0.003844,1.873828
4393.75,0.003844,1.909703
4394.0,0.005126,1.909703
4394.25,0.002563,1.904578
4394.5,0.003844,1.89689
4394.75,0.005126,1.893046
4395.0,0.014096,1.877671
4395.25,0.005126,1.869984
4395.5,0.005126,1.868703
4395.75,0.003844,1.86614
4396.0,0.005126,1.869984
4396.25,0.005126,1.852046
4396.5,0.003844,1.846921
4396.75,0.005126,1.84564
4397.0,0.003844,1.834109
4397.25,0.003844,1.830265
4397.5,0.010252,1.82514
4397.75,0.046133,1.823859
4398.0,0.119178,1.812327
4398.25,0.119178,1.807202
4398.5,0.12046,1.802077
4398.75,0.121741,1.789265
4399.0,0.124304,1.786702
4399.25,0.117897,1.78414
4399.5,0.007689,1.777734
4399.75,0.002563,1.772609
4400.0,0.003844,1.768765
4400.25,0.00897,1.768765
4400.5,0.005126,1.762358
4400.75,0.003844,1.74314
4401.0,0.003844,1.736733
4401.25,0.005126,1.738015
4401.5,0.003844,1.73289
4401.75,0.005126,1.686764
4402.0,0.005126,1.685483
4402.25,0.003844,1.685483
4402.5,0.005126,1.685483
4402.75,0.005126,1.680358
4403.0,0.003844,1.675233
4403.25,0.005126,1.680358
4403.5,0.005126,1.670108
4403.75,0.003844,1.718796
4404.0,0.005126,1.734171
4404.25,0.005126,1.749546
